site_index,lon,lat,thresh_min,pop_marginal,pop_total_catch,pct_marginal,no,project,sector,muni
34,15.80946062,-12.48806005,240,63456.8359375,2930543.75,2.165360470646445,11,Construção da Vala de irrigação da aldeia Chitungo - Comuna do Mbave,Irrigation,Tchikala-tcholoanga
35,16.0147384,-12.5928052,30,20922.30859375,20922.30859375,100.0,12,Construção da Vala de irrigação da aldeia de Ngayeta- Sede,Irrigation,Tchikala-tcholoanga
35,16.0147384,-12.5928052,60,78736.7109375,342858.3125,22.964795679993905,12,Construção da Vala de irrigação da aldeia de Ngayeta- Sede,Irrigation,Tchikala-tcholoanga
35,16.0147384,-12.5928052,120,56481.53515625,1794757.5,3.147028785574096,12,Construção da Vala de irrigação da aldeia de Ngayeta- Sede,Irrigation,Tchikala-tcholoanga
35,16.0147384,-12.5928052,240,59902.390625,2914989.0,2.0549782735029187,12,Construção da Vala de irrigação da aldeia de Ngayeta- Sede,Irrigation,Tchikala-tcholoanga
36,16.0952236,-12.6166219,30,51153.828125,51153.828125,100.0,13,Construção da Vala de irrigação da Aldeia da Canata (projecto Vimbo Lietu)- Sede,Irrigation,Tchikala-tcholoanga
36,16.0952236,-12.6166219,60,100834.4375,635410.8125,15.869172434014883,13,Construção da Vala de irrigação da Aldeia da Canata (projecto Vimbo Lietu)- Sede,Irrigation,Tchikala-tcholoanga
36,16.0952236,-12.6166219,120,66558.4609375,1817394.75,3.662300715763595,13,Construção da Vala de irrigação da Aldeia da Canata (projecto Vimbo Lietu)- Sede,Irrigation,Tchikala-tcholoanga
36,16.0952236,-12.6166219,240,61229.9921875,2928316.5,2.0909622367493403,13,Construção da Vala de irrigação da Aldeia da Canata (projecto Vimbo Lietu)- Sede,Irrigation,Tchikala-tcholoanga
37,16.00378707,-12.61702845,30,26487.6953125,32838.703125,80.65999199686726,14,Construção da Vala de irrigação das aldeias de Belém e de Ndongolócua- Sede,Irrigation,Tchikala-tcholoanga
37,16.00378707,-12.61702845,60,94257.015625,998939.6875,9.435706359899733,14,Construção da Vala de irrigação das aldeias de Belém e de Ndongolócua- Sede,Irrigation,Tchikala-tcholoanga
37,16.00378707,-12.61702845,120,62818.1640625,1877025.25,3.3466872149162614,14,Construção da Vala de irrigação das aldeias de Belém e de Ndongolócua- Sede,Irrigation,Tchikala-tcholoanga
37,16.00378707,-12.61702845,240,62361.9140625,2924259.75,2.132570954495407,14,Construção da Vala de irrigação das aldeias de Belém e de Ndongolócua- Sede,Irrigation,Tchikala-tcholoanga
